C,H,O,N,S,VM,Ash,FC,Agent_sample,Heating_rate,Activation_temp,Activation_time,SBET,TPV,Agent_H3PO4,Agent_K2CO3,Agent_KOH,Agent_Na2CO3,Agent_NaOH,Agent_ZnCl2
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900,1.0,1739.62,0.89,False,True,False,False,False,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.5,10.0,400,1.0,,0.894,False,False,False,False,False,True
60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,0.8,5.0,550,2.0,1133.43,0.895,True,False,False,False,False,False
62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,2.0,5.0,800,1.0,2121.0,0.903,False,False,True,False,False,False
51.57,5.13,39.57,0.24,3.49,,,,1.0,10.0,800,2.0,1910.0,0.92,False,True,False,False,False,False
61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,750,2.0,1912.2,0.92,False,False,True,False,False,False
61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,2.0,10.0,750,2.0,1939.9,0.92,False,False,True,False,False,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.0,10.0,500,1.0,1347.0,0.933,False,False,False,False,False,True
63.7,4.8,26.3,0.4,0.0,51.19,0.04,46.49,2.18,,800,2.0,2153.0,0.94,False,False,True,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800,1.0,1969.12,0.95,False,True,False,False,False,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.0,10.0,450,1.0,1320.0,0.96,False,False,False,False,False,True
56.2,6.0,34.2,3.60,0.0,,,,1.0,10.0,700,2.0,1574.0,0.97,False,True,False,False,False,False
60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,550,2.0,1215.82,0.975,True,False,False,False,False,False
44.9,4.5,29.9,0.0,12.0,,,,1.0,5.0,850,1.0,1759.0,0.9873,False,False,True,False,False,False
61.6,6.0,31.1,1.1,0.2,,,,3.0,10.0,500,2.0,1142.0,0.99,False,False,False,False,False,True
61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,750,2.0,2043.4,0.99,False,False,True,False,False,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.5,10.0,450,1.0,,1.02,False,False,False,False,False,True
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,2.3,10.0,400,1.0,,1.045,False,False,False,False,False,True
56.2,6.0,34.2,3.60,0.0,,,,1.0,10.0,800,2.0,1803.0,1.06,False,True,False,False,False,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.5,10.0,500,1.0,,1.093,False,False,False,False,False,True
74.56,0.0,25.09,0.0,0.22,,,,2.0,2.5,400,2.0,1956.0,1.14,True,False,False,False,False,False
