,C,H,O,N,S,VM,Ash,FC,Agent_sample,Heating_rate,Activation_temp,Activation_time,SBET,TPV,Agent_H3PO4,Agent_K2CO3,Agent_KOH,Agent_Na2CO3,Agent_NaOH,Agent_ZnCl2,Label_biomass,Label_lignin
82,48.7,6.5,43.7,1.1,0.0,79.56,5.14,15.3,0.5,7.0,600.0,1.0,511.0,0.2338,False,True,False,False,False,False,True,False
83,69.6,7.4,22.4,0.6,0.0,74.46,1.3,21.65,1.0,10.0,700.0,1.0,617.0,0.29,False,True,False,False,False,False,True,False
84,69.6,7.4,22.4,0.6,0.0,74.46,1.3,21.65,0.5,10.0,700.0,1.0,604.0,0.3,False,True,False,False,False,False,True,False
85,44.48,6.28,40.49,8.21,0.54,77.5,6.47,16.03,1.0,5.0,600.0,1.0,643.54,0.336,False,True,False,False,False,False,True,False
86,48.7,6.5,43.7,1.1,0.0,79.56,5.14,15.3,0.25,7.0,800.0,1.0,918.0,0.375,False,True,False,False,False,False,True,False
87,69.6,7.4,22.4,0.6,0.0,74.46,1.3,21.65,1.0,10.0,800.0,1.0,907.0,0.42,False,True,False,False,False,False,True,False
88,48.7,6.5,43.7,1.1,0.0,79.56,5.14,15.3,1.0,7.0,800.0,1.0,1166.0,0.4761,False,True,False,False,False,False,True,False
89,48.7,6.5,43.7,1.1,0.0,79.56,5.14,15.3,0.5,7.0,800.0,1.0,1238.0,0.5037,False,True,False,False,False,False,True,False
90,50.78,4.98,42.41,0.57,1.26,76.06,13.49,10.45,0.5,8.37,800.0,0.67,1086.5,0.613,False,True,False,False,False,False,True,False
91,50.01,6.9,41.0,1.9,0.19,78.49,1.19,20.32,1.0,10.0,600.0,2.0,319.0,0.613,False,True,False,False,False,False,True,False
92,50.01,6.9,41.0,1.9,0.19,78.49,1.19,20.32,1.0,10.0,700.0,2.0,425.0,0.613,False,True,False,False,False,False,True,False
93,50.01,6.9,41.0,1.9,0.19,78.49,1.19,20.32,1.0,10.0,800.0,2.0,1170.0,0.613,False,True,False,False,False,False,True,False
94,50.01,6.9,41.0,1.9,0.19,78.49,1.19,20.32,1.0,10.0,900.0,2.0,544.0,0.613,False,True,False,False,False,False,True,False
95,50.01,6.9,41.0,1.9,0.19,78.49,1.19,20.32,1.0,10.0,1000.0,2.0,339.0,0.613,False,True,False,False,False,False,True,False
96,50.01,6.9,41.0,1.9,0.19,78.49,1.19,20.32,0.5,10.0,800.0,2.0,248.0,0.613,False,True,False,False,False,False,True,False
97,50.01,6.9,41.0,1.9,0.19,78.49,1.19,20.32,0.75,10.0,800.0,2.0,476.0,0.613,False,True,False,False,False,False,True,False
98,50.01,6.9,41.0,1.9,0.19,78.49,1.19,20.32,1.5,10.0,800.0,2.0,540.0,0.613,False,True,False,False,False,False,True,False
99,50.01,6.9,41.0,1.9,0.19,78.49,1.19,20.32,2.0,10.0,800.0,2.0,332.0,0.613,False,True,False,False,False,False,True,False
100,44.48,6.28,40.49,8.21,0.54,77.5,6.47,16.03,1.0,5.0,800.0,1.0,1352.86,0.68,False,True,False,False,False,False,True,False
101,43.25,5.98,49.74,0.92,0.11,80.07,6.09,13.84,0.67,10.0,950.0,0.167,1580.0,0.809,False,True,False,False,False,False,True,False
102,50.78,4.98,42.41,0.57,1.26,76.06,13.49,10.45,0.5,8.37,800.0,0.33,2083.6,1.23,False,True,False,False,False,False,True,False
103,49.56,5.16,44.08,1.2,0.0,79.18,6.6,14.23,0.75,10.0,700.0,1.0,2613.0,1.661,False,True,False,False,False,False,True,False
104,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,1.4,0.0052,False,True,False,False,False,False,False,True
105,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,1.4,0.01,False,True,False,False,False,False,False,True
106,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,583.8176,0.25789,False,True,False,False,False,False,False,True
107,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,583.82,0.26,False,True,False,False,False,False,False,True
108,56.2,6.0,34.2,3.60,0.0,64.62,4.62,28.06,1.0,8.29,900.0,1.42,2300.0,0.48,False,True,False,False,False,False,False,True
109,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700.0,1.0,1704.43,0.72,False,True,False,False,False,False,False,True
110,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700.0,1.0,1704.4324,0.72105,False,True,False,False,False,False,False,True
111,64.91,7.34,19.82,0.26,7.67,48.66,4.03,34.57,1.0,8.29,700.0,1.0,1585.0,0.79,False,True,False,False,False,False,False,True
112,63.21,5.6,27.78,0.19,3.22,64.62,4.62,28.06,1.0,10.0,800.0,2.0,1687.0,0.86,False,True,False,False,False,False,False,True
113,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900.0,1.0,1739.619,0.8894,False,True,False,False,False,False,False,True
114,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900.0,1.0,1739.62,0.89,False,True,False,False,False,False,False,True
115,51.57,5.13,39.57,0.24,3.49,64.62,4.62,28.06,1.0,10.0,800.0,2.0,1910.0,0.92,False,True,False,False,False,False,False,True
116,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800.0,1.0,1969.12,0.95,False,True,False,False,False,False,False,True
117,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800.0,1.0,1969.1198,0.9526,False,True,False,False,False,False,False,True
118,56.2,6.0,34.2,3.60,0.0,64.62,4.62,28.06,1.0,10.0,700.0,2.0,1574.0,0.97,False,True,False,False,False,False,False,True
119,56.2,6.0,34.2,3.60,0.0,64.62,4.62,28.06,1.0,10.0,800.0,2.0,1803.0,1.06,False,True,False,False,False,False,False,True
120,56.2,6.0,34.2,3.60,0.0,64.62,4.62,28.06,1.0,10.0,900.0,2.0,2301.0,2.03,False,True,False,False,False,False,False,True
121,48.7,6.5,43.7,1.1,0.0,79.56,5.14,15.3,0.5,7.0,600.0,1.0,146.0,0.0718,False,False,True,False,False,False,True,False
